Year,Month,LicenseNo,PermitDate,ExpireDate,TariffCode,StatisticalCode,Buyer,BuyerCountryCode,BuyerCountryName,Seller,OriginCountryCode,OriginCountryName,BirthplaceCountryCode,BirthplaceCountryName,Vehicle,CustomPortCode,CustomPortName,Weight,WeightUnit,Quantity,QuantityUnit,PricePerUnit,CurrencyCode,CurrencyName,ExchangeRate,TotalPrice,TotalPriceType,CompanyTaxNo,CompanyName
2565,5,WTO-22050024-22050024,41:39.2,00:00.0,17011400,3,NULL,NULL,NULL,"INKISM INTERNATIONAL CO.,LTD.",TW,"TAIWAN, PROVINCE OF CHINA",TW,"TAIWAN, PROVINCE OF CHINA",WAN HAI 171 V.S312,119,?????????????? ???.,0.048,TNE,4,CT,35,USD,???????????,33.9219,4769.4191,FOB,1.06E+11,"B SOCIETY CO.,LTD."
2565,7,WTO-22070053-22070051,16:55.4,00:00.0,17019910,2,NULL,NULL,NULL,JELLY BELLY CANDY COMPANAY,US,UNITED STATES,US,UNITED STATES,CMA CGM LOIRE,2801,??????????????????????????????,17.35,TNE,765,5M1,26,USD,???????????,35.5056,708379.3267,FOB,2.16E+11,????? ????? ?????? ??????? (?????????) ?????
2565,5,WTO-22050030-22050030,03:09.2,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????,0.001,TNE,1,C62,6444,THB,???,1,6443.83,CPT,1.06E+11,?????? ?????? ?????
2565,6,WTO-22060036-22060035,03:49.9,00:00.0,17019100,2,NULL,NULL,NULL,GARRETT LICENSING LLC SHOPS,US,UNITED STATES,US,UNITED STATES,HENG HUI 2,2801,??????????????????????????????,19.278,TNE,850,BG,24,USD,???????????,34.594,716009.315,EX-WORK,1.06E+11,??????  ??????? ?????? (?????????) ?????
2565,6,WTO-22060041-22060040,44:15.9,00:00.0,17011400,90,NULL,NULL,NULL,PATEL RETAIL PVT LTD,IN,INDIA,IN,INDIA,X-PRESS BARDSEY V.22014E,2801,??????????????????????????????,0.25,TNE,25,CT,16,USD,???????????,34.594,13405.175,CIF,1.06E+11,?????? ???????? ???????? ????? ??????????? ?????
2565,6,WTO-22060045-22060044,55:46.9,00:00.0,17019100,2,NULL,NULL,NULL,GARRETT LICENSING LLC SHOPS,US,UNITED STATES,US,UNITED STATES,CNC MARS,2801,??????????????????????????????,19.278,TNE,850,BG,24,USD,???????????,34.594,691750.2725,EX-WORK,1.06E+11,??????  ??????? ?????? (?????????) ?????
2565,4,WTO-22040023-22040023,43:56.2,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,XJ921,1190,?????????????????,0.003,TNE,3,C62,1165,THB,???,1,3495.3,CPT,1.06E+11,?????? ?????? ?????
2565,7,WTO-22070051-22070050,16:39.8,00:00.0,17019990,2,NULL,NULL,NULL,SUCRE DISTRIBUTION,FR,FRANCE,FR,FRANCE,TK1822/04,1190,?????????????????,0.25,TNE,250,KGM,1,EUR,????,36.7625,11754.8094,Ex-Work,2.56E+11,?????? ????? ?????? ???????? ????? 
2565,7,WTO-22070052-22070054,01:13.2,00:00.0,17019990,1,NULL,NULL,NULL,Puratos NV,BE,BELGIUM,BE,BELGIUM,ONE EAGLE,2801,??????????????????????????????,0.72,TNE,72,BG,2,EUR,????,37.5713,50044.9716,FOB,1.06E+11,?????????????? (?????????) ?????
2565,5,WTO-22050031-22050031,03:40.2,00:00.0,17019910,3,NULL,NULL,NULL,MERCK KGaA,DE,GERMANY,DE,GERMANY,QR0836,1190,?????????????????,0.006,TNE,6,C62,1165,THB,???,1,6990.6,CPT,1.06E+11,?????? ?????? ?????
2565,6,WTO-22060042-22060041,01:38.0,00:00.0,17011400,90,NULL,NULL,NULL,M/S.SPAZIO EXIM INDIA,IN,INDIA,IN,INDIA,????,2801,??????????????????????????????,0.05,TNE,50,BG,1,USD,???????????,34.594,1798.888,CIF,2.16E+11,?????? ????? ?????? ?????
2565,3,WTO-22030017-22030017,12:05.7,00:00.0,17019910,4,NULL,NULL,NULL,"Advanz Beverage Manufacturing Co., Ltd",MM,MYANMAR,MM,MYANMAR,8K712,1190,?????????????????,0.01,TNE,10,BG,1,USD,???????????,32.3845,476.0522,FOB,1.08E+11,??????? ????? (?????)
2565,5,WTO-22050034-22050034,55:28.6,00:00.0,17019100,1,NULL,NULL,NULL,SWEET HOME CANDIED PRODUCTS SDN BHD,MY,MALAYSIA,MY,MALAYSIA,ASIATIC REUNION V.N008,119,?????????????? ???.,5,TNE,250,BG,46,USD,???????????,33.9219,391797.945,CIF,1.05E+11,?????? ??????????? ??? ????????? ?????
2565,6,WTO-22060047-22060046,16:01.2,00:00.0,17019990,2,NULL,NULL,NULL,SUCRE DISTRIBUTION,FR,FRANCE,FR,FRANCE,TK1822/04,1190,?????????????????,0.25,TNE,10,BG,1,EUR,????,36.7625,11754.8094,Ex-Work,2.56E+11,?????? ????? ?????? ???????? ????? 
2565,6,WTO-22060040-22060039,50:56.1,00:00.0,17019910,4,NULL,NULL,NULL,"NISHIHARA SHOKAI CO., LTD.",JP,JAPAN,JP,JAPAN,WAN HAI 275 S181,2801,??????????????????????????????,0.2,TNE,10,CT,222,JPY,???,0.2723,12090.12,CFR,1.16E+11,???????? ?????? (????????) ?????
2565,1,WTO-22010001-22010002,58:57.6,00:00.0,17019100,1,NULL,NULL,NULL,SWEET HOME CANDIED PRODUCTS SDN BHD,MY,MALAYSIA,MY,MALAYSIA,EVER DAINTY/V163E,119,?????????????? ???.,5,TNE,250,BG,46,USD,???????????,33.7477,389785.935,CIF,1.05E+11,?????? ??????????? ??? ????????? ?????
